datetime,open,high,low,close,volume
2025-04-30 08:45:00,208.4300,208.5800,204.9840,207.5900,115288
2025-04-30 08:30:00,209.5000,209.9400,208.1477,208.3500,90916
2025-04-30 08:15:00,209.8500,209.8988,209.3303,209.4900,43267
2025-04-30 08:00:00,210.7375,211.3400,209.6700,209.8600,849931
2025-04-30 07:45:00,210.2400,210.2400,209.7700,210.0400,13571
2025-04-30 07:30:00,210.4000,210.4000,210.1300,210.2700,2540
2025-04-30 07:15:00,210.4700,210.5600,210.2200,210.3600,6043
2025-04-30 07:00:00,210.3600,210.8400,210.3200,210.4800,14249
2025-04-30 06:45:00,210.4300,210.4900,210.1200,210.3600,5126
2025-04-30 06:30:00,210.2400,210.5000,210.1100,210.4100,4410
2025-04-30 06:15:00,210.6400,210.6800,210.2100,210.3000,5753
2025-04-30 06:00:00,210.6300,210.7300,210.5800,210.6400,3116
2025-04-30 05:45:00,210.8300,210.8600,210.5800,210.6000,2760
2025-04-30 05:30:00,210.9600,210.9700,210.7900,210.8600,2038
2025-04-30 05:15:00,210.8000,210.9000,210.7100,210.9000,1080
2025-04-30 05:00:00,210.6000,210.8400,210.5900,210.7600,1069
2025-04-30 04:45:00,210.7400,210.7800,210.6200,210.6600,1884
2025-04-30 04:30:00,210.8300,210.9000,210.6000,210.7200,4734
2025-04-30 04:15:00,211.0000,211.3400,210.8100,210.8100,9755
2025-04-30 04:00:00,210.9700,211.2100,210.5600,211.0700,11780
2025-04-29 19:45:00,210.6700,210.9900,210.5000,210.5550,5413
2025-04-29 19:30:00,210.6000,210.7000,210.3682,210.5140,7200
2025-04-29 19:15:00,210.4200,210.7000,210.3500,210.5200,8076
2025-04-29 19:00:00,210.6800,210.7900,210.2500,210.4245,7364
2025-04-29 18:45:00,210.7800,210.9300,210.6400,210.6500,2975
2025-04-29 18:30:00,210.6400,210.9400,210.6400,210.7800,3009
2025-04-29 18:15:00,211.0800,211.0900,210.1400,210.9000,5422
2025-04-29 18:00:00,210.8100,211.1300,205.3198,210.8700,5993
2025-04-29 17:45:00,210.6500,211.2100,210.6000,210.8000,1428302
2025-04-29 17:30:00,210.6000,210.7900,210.5000,210.6260,5568
2025-04-29 17:15:00,210.6000,210.6000,210.5100,210.5700,12028
2025-04-29 17:00:00,210.8100,224.2896,197.7508,210.6000,18138
2025-04-29 16:45:00,210.8600,224.4959,197.7508,211.2100,32253
